Food,	Calories,	Weight,	Protein,	Carbohydrates,	Sugars,	Dates	
Bread,	80,	180,	3,	4,	4,	2018-04-12
Apple,	80,	180,	3,	3,	3,	2018-04-12
Chips,	150,	180,	4,	5,	3,	2018-04-12
Chips,	150,	180,	4,	5,	3,	2018-04-12
Soda,	150,	180,	4,	5,	3,	2018-04-12
Apple,	80,	123,	0,	22,	16,	2018-04-13
Cheese,	110,	123,	6,	0,	0,	2018-04-13
Coffee,	5,	123,	0,	1,	0,	2018-04-13
Apple,	80,	180,	0,	22,	16,	2018-04-15
Ham (1 slice),	50,	180,	8,	0,	0,	2018-04-15
Soda,	170,	180,	0,	0,	43,	2018-04-16
Apple,	80,	167,	0,	22,	16,	2018-04-17
Bread,	80,	167,	4,	15,	0,	2018-04-17
Grapes (1 cup),	62,	167,	0,	16,	15,	2018-04-17
Sausage,	200,	158,	10,	2,	0,	2018-04-14
Banana,	105,	158,	1,	27,	14,	2018-04-14
Cookies,	150,	158,	0,	17,	15,	2018-04-14
Protein Powder,	120,	158,	24,	3,	4,	2018-04-14
Donut,	310,	158,	4,	32,	11,	2018-04-11
Chicken Thigh,	110,	158,	20,	0,	0,	2018-04-11
Chicken Thigh,	110,	158,	20,	0,	0,	2018-04-11
